nome;idade
Beatriz Neves-Costa Jason Williams;33
Mauro Valente Adrienne Ware;67
Guilherme Nogueira Kimberly Stone;19
Carlos Miranda-Matias Corey Heath;45
Adriana Paiva-Vaz Jessica Ferguson MD;32
Luana Campos Tyler Jones DDS;49
Diego Nascimento Eric Robbins;50
Victória Pinheiro Brian Shelton;16
Nelson Henriques Donald Howell;20
Lucas Moreira Beverly Dixon;64
Helena Leite-Vaz Jill Moreno;60
Salomé Macedo Joshua Yates;18
Erica Moura Noah Lopez;30
Lara Paiva Ethan Lewis;33
Rafael Matos David Quinn;35
Anita Sá Amy Ramos;57
Camila de Morais Thomas Faulkner;49
Henrique do Pacheco Marissa Brown;65
Dinis Mota Lisa Walker;49
Xavier Paiva Monique Morris;54
Carminho-João Coelho William Lyons;48
Joana Araújo Deborah Cole;30
Bárbara Barbosa Jade Edwards;24
Bianca Vieira Stephanie Bradshaw;31
Íris Oliveira-Pacheco Pamela Hill;50
Rúben Vicente Jessica Gillespie;25
Mariana Borges Shannon Strickland;34
Nelson Lima Amanda Barajas;36
Daniel Campos Joshua Hill;63
Júlia Amaral Maureen Palmer;67
Cristiano Sousa Jacob Jordan;39
António Neto David Ayala;53
Luciana Marques Alyssa Campos;31
Kelly-Iara Fernandes Jessica Carter;61
Gonçalo Matos Allison Hayden;35
Juliana-Petra Leite Michael Smith;22
Ivan Almeida Michael Little;48
Luísa Lima Kyle West;44
Larissa Cunha Kristie Miller;38
Fernando Araújo Lydia Haney;24
Cláudio Pires Barbara Moore;68
Miriam Paiva Patricia Delacruz;69
Isaac Pereira Michelle Smith;18
Micael Fernandes Jasmine Pineda;35
Benedita Antunes Ann Shelton;24
Melissa Leal-Lima Jack Hopkins;56
Cláudio Carvalho Tammy Mathews;17
Gaspar Alves Jason Williams;34
Rui Gonçalves Amanda Gonzalez;12
Wilson Matos Kimberly Little;27
Fabiana Almeida Alicia Harris;40
Manuel Amaral Deborah Sherman;62
Hugo Moura John Sharp;18
Henrique Garcia Joseph Lopez;58
Joel Esteves-Andrade James Johnson;59
Jaime Abreu Susan Brown;23
Adriana Barbosa Roger Cruz;35
Vera Faria Lisa Bradford;48
Manuel Brito Stephen Castillo;33
Benedita Costa Ellen Curry;64
Kelly do Pinheiro Rhonda Kramer;40
Bruno Martins Amanda Dunn;69
Erica Gonçalves-Reis Danielle Sanchez;63
Rafael Alves Melissa Harrison;55
Rui Alves Mr. Andres Bailey;57
Alexandra-Diana Vicente Phillip Ellis;31
Alexandre Gaspar Laura Keller;38
Nair Fonseca Kelly Contreras;17
Rui Macedo Phillip Hendricks;57
Kyara Mendes Jessica Hernandez;15
Carminho Barros Joshua Hampton;63
Petra Garcia Daniel Coleman;58
Leandro da Figueiredo Jerome Miles Jr.;26
Emma Batista Brandi Smith;44
Eva Nogueira Michael Jackson;39
Tomé-Naiara Rodrigues Bradley Gibson;31
Eduarda Jesus Theresa Walton;35
Emma Pinheiro Jennifer Wilson;35
Bruno Leal Laura Moore;65
Dinis Guerreiro James Jackson;36
Nelson Ramos Karen Walker;38
Alexandra-Filipa Neves Katrina Hernandez;26
Henrique Coelho Luis Arias;43
Madalena Faria Brian Kim;24
Bernardo Nogueira Victoria Roberts;45
Matilde Gomes Julia Floyd;64
Paulo Pinheiro Roberto Galloway;55
Benedita Araújo Amanda Thomas;39
Bianca Cruz Jamie Davis;29
Teresa Maia Austin Lee;17
Tatiana da Campos Rebecca Terry;68
Ema Macedo Terri Hamilton;47
Anita Antunes Manuel Riddle;21
Ângelo Pinheiro Amanda Torres;17
Inês Nunes Mary Payne;23
Emma Soares Mary Glover;65
Rúben de Borges Jimmy Rodriguez;39
Lúcia Martins Daniel Carrillo;31
Kelly Tavares-Pinheiro Ann Hall;13
Simão Rodrigues Melissa Bowman;33
Caetana Borges Theresa Brown;33
Nádia Reis Sonia Strickland;63
Noa Pacheco Mandy Smith;70
Nelson Cardoso-Maia Stephen Cabrera;38
Vítor Reis Sue Kennedy;31
António Melo Savannah Jackson;29
Jéssica Pacheco Christy Jones;20
Sérgio Gaspar Dylan Leach;54
Rita Pinho Shannon Cook;41
Joaquim Freitas Tracy Johnson;52
Nuno Machado Phyllis Davis;26
Micael da Marques Robert Griffin;39
Erica Sousa Ashlee Gonzalez;22
Vítor do Oliveira Eric Lopez;61
Marco Morais Lynn Torres;37
Cláudio Sá Leroy Butler;63
Joel Lopes Ronald Mcdonald;42
Nair do Reis Mr. Christopher Smith;59
Isaac Cruz Anne Davis;15
Rodrigo Jesus-Moura Jesse Reed;49
Larissa Vieira Charles Wood;13
Leandro Costa Christopher Evans;52
Beatriz do Nascimento Ellen Nash;63
Luca Carneiro Tony Adams;33
Artur Leal Kathy Rodriguez;55
Kelly Carneiro Jason Boyd;15
Dinis Rocha Kevin Bradley;18
Noah de Vicente Allen Johnson;69
Daniela Ribeiro Traci Stevens;21
Manuel Batista Sara Stark;63
Irina do Batista Phillip Jimenez DVM;66
Nair Esteves-Macedo Sarah Jones;44
Noah Monteiro Benjamin Ellis;41
Francisca Gonçalves-Baptista Logan Peters;14
Alexandra de Soares Aaron Ruiz;19
Bryan Domingues Gabriel Combs;37
Manuel Teixeira Zoe Wise;13
Helena Ramos Briana Santiago;25
Ariana Nogueira Tanya Johnson;63
Leonardo Pires Janice Salazar;41
Salomé Nunes Jackie Moore;29
Luna Gaspar Joseph Martinez;55
Yasmin Correia-Domingues Andrew Cowan;56
Kelly do Campos Holly Anderson;60
Álvaro Figueiredo Samantha Becker;45
Bárbara Pinheiro Kristopher Lloyd;41
Matias-Kyara Castro Joshua Ali;57
Mateus Moreira Melanie Taylor;48
Carlos Sousa-Santos Amy Solis;28
Ana Abreu Deanna Dunn;60
Luís-Emma Anjos Sherri Adkins;61
Luísa-Sofia Morais Margaret Berg;21
Tomé Pires Tony Schneider;27
Daniela Figueiredo Samantha Hubbard;34
Bryan Vieira Alexandra Myers;46
Laura Martins Lynn Harris;34
Xavier Tavares Mary Montoya;65
Letícia Moura Timothy Murray;35
Guilherme-Kévim Rocha Lauren Carney;51
William de Correia Amber Smith;38
Beatriz da Pacheco Gwendolyn Leon;24
Rui Ribeiro Nicholas Wilkinson;23
Tomé Pinto Candice Johnson;20
Emma Pinto-Domingues Jonathan Spencer;14
Joana Fernandes Jeremy Logan;27
Ivo do Gomes Justin Martinez;39
Patrícia Leite Anthony Wilson;39
Eva Pacheco-Martins Raymond Johnson;52
Mafalda Faria Joseph Love;21
Laura Vieira William Mcbride;50
Érica Cunha Heather Smith;24
Enzo do Branco Joseph Walters;39
Inês Figueiredo Cheryl Ryan;40
Anita Pacheco Peter Fritz;30
Flor Gonçalves Benjamin Hill MD;25
Amélia Santos Sheila Powell;57
Adriana Oliveira Tiffany Smith;51
Francisca Almeida John Miller;20
Ana Soares Isaiah Davis;31
Igor Marques Laurie Costa;50
Isabela Macedo Tiffany Allen;60
Luís Alves Lindsay Griffith;56
Valentina-Inês Baptista Stacy Patterson;32
Tatiana Vicente-Nascimento Cynthia Barnett;19
Júlia Garcia Andrea Burns;55
Enzo Gonçalves Anna Foster;65
Juliana Ferreira-Leite William Arroyo;33
Duarte de Leal Michael Miller;55
Kyara Nascimento-Cruz Erika Petersen;44
Inês Branco Angelica Hamilton;13
Cristiano Campos Nicholas Garcia;67
Marcos Nunes Alicia Little;42
Adriana Gonçalves Tasha Hendricks;26
Bárbara Macedo Ashley Luna;15
Carolina-Camila Baptista Brian Mcmillan;39
Alice-Rui Teixeira Robert Thomas;65
Sebastião Araújo Clinton Harris;13
Edgar Pires Chad Santos;58
Miriam-António Ramos Randall Jordan;28
Luís Melo James Browning;59
Diana Ferreira Nicolas Vaughan;66
Manuel-Cláudio Coelho Brandy Silva;14
Naiara Pinheiro Nathaniel Maldonado;49
Álvaro Jesus Paul Robertson;60
Lucas Oliveira-Lima Adam Clayton;55
Luca Brito Stephanie Hartman;25
Isabel Valente Nicholas Nelson;61
Bryan Simões-Marques Richard Jensen;58
Alexandra Macedo-Carvalho Courtney Gregory;27
Rafael Reis Michael Hooper;19
Raquel Teixeira Kenneth Henry;46
Ivan Andrade Michelle Thomas;63
Vera Faria Tracy Villanueva;53
Eva da Batista Aimee Shannon;54
Flor Batista Kathleen Jackson;36
Lia Melo Misty Smith;21
Camila Lourenço Lisa Smith;51
Henrique-Vítor Cruz Janet Hall;66
Kyara da Baptista John Rocha;33
Igor Morais Heather Wright;13
Erika Pacheco Rachel Paul;45
Larissa Pereira-Leal Maria Smith;41
Alex de Magalhães Maria Neal;63
David Tavares-Gonçalves Nicolas Kim;60
Edgar Antunes Lauren Smith;62
Marta de Sousa Shelly Crawford;29
Brian Rocha Susan Reynolds;45
Rafael-Vicente Andrade Kayla Jennings;64
Carlota Mendes Rebecca Ross;52
Mafalda Cardoso Alan Gutierrez;45
Diana Ferreira Richard Anderson;60
Madalena Sousa Alicia Hodge;31
Raquel-Santiago Barbosa John Williams;38
Íris Moura Mckenzie Daugherty;39
Eduardo Torres Sarah Moore;35
Erika Leite-Ribeiro David Johnson;42
Benedita Oliveira Michael Sexton;68
Vera Anjos Gina Hoover;64
Mafalda Branco Michael Carter;36
Mara-Noah Moura Keith Mcdonald;59
Débora Soares James Clark;36
Júlia Branco Tanya Wright;22
Micael-Andreia Castro Dawn Wheeler;18
Enzo-Mariana Valente Deborah Weber;42
Tatiana Simões-Vaz Connor Church;32
Samuel Soares Mrs. Sandra Coleman;40
Manuel Anjos Morgan Chaney;30
Eduarda Torres-Oliveira Robert York;61
Yara Machado Carlos Davis;15
Rodrigo Branco Lydia Hall;62
Diego Loureiro John Roberts;24
Jaime-André Gaspar Charles Daniel;25
Carolina Valente Linda Knight;52
Álvaro Lima John Warren;48
Rafaela-Beatriz Oliveira Sabrina Thompson;67
Camila da Moura Dorothy Davis;14
Jorge Correia Erik Haney;42
Filipe Coelho Sarah Edwards;48
Isabela Batista Richard Morton;43
Gil Gomes Kathleen Ferguson;32
Mateus de Oliveira Jacob Kennedy;53
Hugo Mota Mr. David Short II;51
Filipe Assunção Joe Davis;20
Isabel Ribeiro-Leite Nicholas Caldwell;21
Joel Matos Brian Allen;56
Petra-Letícia Branco Jack Martinez;14
Flor-Dinis Nogueira Daniel Perez;65
Catarina do Mendes Katie Butler;31
Alex Simões-Cunha Patricia Cannon;45
Samuel Castro Matthew Williams;61
Vicente Andrade William Reyes;66
Filipe-José Mota Ronald Hansen;66
Clara Macedo Deborah Nguyen;26
Diogo Sá Tonya Bowen;63
Simão Tavares Mary Roman;13
Alexandra Cardoso Ruth Elliott;19
Mia de Ramos Albert Anderson;58
Álvaro Esteves Meghan Farmer;35
Nair de Carneiro Steven Olson;29
Joaquim Assunção Chad Simpson;57
Afonso-Afonso Vieira Ryan Owen;39
Catarina Jesus-Lourenço Aaron Stewart;55
Filipa Almeida Kimberly Sosa;41
Rodrigo Tavares Antonio Johnston;62
Matilde do Valente Mark Carter;28
Alice Borges Valerie Francis;35
Violeta Vicente Sarah Perez;38
Ângelo Lima Christopher Gardner;37
Diego Mota Mark Edwards;67
Larissa Fonseca Maria Mitchell;35
Edgar Coelho John Ramos;36
Pedro Barros Angela Huerta;65
Mara Reis Justin Erickson;19
Samuel Guerreiro Danny Clark;53
Edgar-Jorge Nogueira Alyssa Garza;57
Kyara Fernandes Aaron Thompson;64
Bryan Moura Christopher Lyons;60
Yara Domingues Mr. Jose Blair MD;37
Leonardo Paiva Katrina Diaz;35
Luna Tavares Margaret Lewis;52
Hugo Cunha Sarah Ortiz;59
Tiago Magalhães Karen Hill;54
Diogo Nunes Daniel Torres;33
Letícia Correia Michael Garcia;59
Micael Pacheco Johnny Hickman;12
Íris Oliveira Alyssa Harris;19
Tomé Monteiro Erik Erickson;19
Erica Santos-Cunha Danielle Holt;55
Enzo Torres Curtis Morales;55
Luísa-Daniel Ferreira Claire Huang MD;17
Adriana Coelho Christopher Turner;45
Helena Barros Kathryn Benton;61
Sofia-Márcio Magalhães Ernest Morse;27
Kevin Costa Tammy Walker;58
Rodrigo Monteiro-Leal Jordan Hall;28
Sebastião Magalhães Jonathan Lewis;20
Vítor Abreu Sharon Chang;46
Bryan do Costa Destiny Young;65
Sérgio Castro Brandy Thomas;51
Rodrigo Amaral Austin Murray;31
Tatiana Melo Elizabeth Adams;64
Xavier Pereira Joseph Avery;70
Eduardo Monteiro Carlos Bryant;37
Núria Barbosa Mike Miller;53
Alexandra-Mateus Martins Karen Weaver;37
Sebastião de Correia Danielle Alexander;30
Ivan-Lourenço Domingues Eric Brown;58
Francisca Sá Sarah Ellis;16
Raquel Barros Steven Gutierrez;31
Amélia Martins Tiffany Bryan;20
Júlia Moura Audrey Hughes;31
Petra Amaral Eduardo Larson;15
Gonçalo Martins Samuel Duncan;17
Vasco Almeida-Simões Gregory Pittman;33
Cristiano Amaral John Perry;55
Emanuel-Jéssica Pereira Trevor Drake;55
Débora Anjos Allison May;31
Madalena Paiva Pamela Bender;67
Eduarda Lima Samuel Franco;32
Francisco Azevedo Tracy Schwartz;56
Érica Pereira Scott Hunter;63
Nuno Vieira Nicole Hoffman;38
Leonor Gomes Melissa Ellison;39
Flor Reis Kathleen Casey;69
Ivan Valente Kevin Ortiz;68
Nicole Simões Madison Thompson;40
Rui Antunes Joy Henderson;69
Isaac Carneiro Patricia Liu;19
Rodrigo-Victória Henriques Frank Flores;55
Lúcia-Francisco Antunes Jordan Johnson;16
Ivan Domingues David Bishop;29
Kyara do Valente Stacy Wilson;66
Bryan Fonseca Earl Williams;21
Igor Machado Kelly Palmer;45
Camila Reis-Freitas Jaime Boone;21
Rúben Barros Darrell Sanchez;24
Vítor Vieira Zachary Howell;16
Mafalda Guerreiro Jason Marshall;51
Luna Gonçalves Elizabeth Shields;19
Margarida-Kévim Faria Diana Marshall;22
Erika Figueiredo Robert Marshall;15
Bruna Lima-Soares Samantha Ellis;45
Miguel Cunha-Amorim Michael Diaz;18
Kyara Pires Tiffany Bender;64
Renata-Tomé Teixeira Beth Franklin;70
Petra Matos Elizabeth Johnson;62
Artur Gonçalves-Machado Katherine Graham;57
Carlota Assunção Elizabeth Black;68
Lucas-Violeta Fonseca James Miller;25
Filipa Costa Kelsey Burns;12
Carminho Rodrigues Brian Glover MD;41
Erica Gaspar Jeffrey Pearson;36
Luca Gomes Kayla Baird;64
Vera da Neves Kim Owens;22
Yara Maia Marissa Shepherd;29
Joel Amorim Johnny Alexander;68
Carminho Martins Rachel Marks;30
Joel Sá Stephen Romero;39
Vítor Assunção-Pires Kyle Reese;70
Luís Moura Molly Duffy;18
Tiago Sá Felicia Smith;62
Mateus Assunção Miss Audrey Nicholson;46
David-Wilson Neves Kenneth Lewis;62
Marco Loureiro Catherine Kelly;58
Adriana-Lara Soares Karen Cooper;30
Núria Morais Brandi Crawford;42
Rafael de Mota Robert Burns;55
Juliana Leal Christopher West;14
Alexandra Miranda Jasmine Willis;39
Marcos Macedo Matthew Jones;54
Paulo Guerreiro Melissa Stewart;70
Ivo Andrade Kelly Miller DDS;38
Nuno Coelho Renee Hayes;37
Matilde Morais Daniel Chavez;17
Márcio Figueiredo-Fonseca Erik Walker;62
Fabiana Gomes Devin Patterson;50
Mauro da Anjos Jeanette Pratt;41
Tomé Oliveira Joseph Garcia;42
Vasco Amaral Amy Rogers;57
Mário Castro Anthony Atkins;54
Anita-Rita Pinto James Wagner;26
Valentim Sousa Karen Spence;45
Micael Macedo Jeffrey Peters;19
Filipa Lopes Thomas Davis;41
Mauro do Amaral Kevin Smith;15
Noah Garcia Joann Ortiz MD;21
Martim Assunção Michael Gibson;67
Bryan Ferreira Shannon Wood;47
Nuno Costa Kim George;42
Anita Almeida-Silva Gina Gonzalez;44
Alexandre de Teixeira Karen Lewis;67
Paulo Gaspar Rodney Castro;68
Mateus Amaral Ricky Bonilla;16
Salvador Andrade Donald Nelson;56
Tomás Figueiredo Jamie Lambert;67
Márcio Neves-Antunes John Anderson;66
Alícia de Pires Sonya Duran;33
Anita Correia Travis Jones;17
Bruno Monteiro Tiffany Kelley;14
Ângela Andrade Cole Huerta;34
Lia Cardoso Curtis Wilson;20
Larissa Branco Joshua Robinson;12
Pilar Barbosa Cody Peterson;32
Caetana Nunes Terry Ross;31
Ivan do Miranda Michelle Wong DDS;53
Carminho Martins Robert Mclean;67
Gaspar Simões Ricardo Burton;30
Xavier Gomes Nathan Torres;29
Hugo Silva Mary Dean;70
Guilherme Gonçalves Hannah Johnson;61
Letícia-Carlos Vicente Javier Obrien;52
Márcio de Mendes Molly Odom;18
Tatiana-Gabriel Ferreira Rachel Reese;28
Débora Pires Robert Butler;68
Dinis Sá Richard Thomas;48
Núria Carneiro Nathan Cooper;46
Vasco Morais-Loureiro Shannon Mccann;32
Alexandre Morais Mary Rosario;48
Manuel de Azevedo Jamie Rodriguez;41
Duarte Araújo William Howard;45
Naiara Mota-Jesus Victoria Strong;30
Joaquim Cardoso Michelle Davis;32
Lisandro Costa Justin Wilson;31
Filipa Anjos-Torres Zachary Herrera;50
Lisandro da Gonçalves Christopher Williams;60
Carlota Teixeira Veronica Chavez;56
Madalena Pinto Stephanie Hall;49
Nair Borges Sarah Lam;40
Juliana Leal-Marques Sarah Mcgee;64
William Simões Robert Davis;51
David Guerreiro Caitlin Larsen;36
Tatiana Rodrigues Jacob Martinez;55
Nair Rocha Michael Wilcox;33
Matilde Freitas James Ray;33
Álvaro Vieira Mary Frederick;52
Catarina Neves Roberto Stanley;39
Alexandre Nascimento Felicia Villanueva;12
Benjamim Moura Austin Koch;66
Samuel Neto Robert Schroeder;15
Matias Araújo Ricardo Galvan;58
Luís do Soares Charles Jones;26
Larissa Gaspar Rebecca Martinez;12
Gabriel Faria Stephen Williams;52
